idpedido   cliente   idempleado   idempresa   importe   pais
10766      OTTIK     0000000004   000000001    157.55   Alemania
10767      SUPRD     0000000004   000000003      1.59   Belgica
10768      AROUT     0000000003   000000002    146.32   Reino Unido
10769      VAFFE     0000000003   000000001     65.06   Dinamarca
10770      HANAR     0000000008   000000003      5.32   Brasil
10771      ERNSH     0000000009   000000002     11.19   Austria
10772      LEHMS     0000000003   000000002     91.28   Alemania
10773      ERNSH     0000000001   000000003     96.43   Austria
10774      FOLKO     0000000004   000000001     48.20   Suecia
10775      THECR     0000000007   000000001     20.25   Estados Unidos
10776      ERNSH     0000000001   000000003    351.53   Austria
10777      GOURL     0000000007   000000002      3.01   Brasil
10778      BERGS     0000000003   000000001      6.79   Suecia
10779      MORGK     0000000003   000000002     58.13   Alemania
10780      LILAS     0000000002   000000001     42.13   Venezuela
10781      WARTH     0000000002   000000003     73.16   Finlandia
10782      CACTU     0000000009   000000003      1.10   Argentina
10783      HANAR     0000000004   000000002    124.98   Brasil
10784      MAGAA     0000000004   000000003     70.09   Italia
10785      GROSR     0000000001   000000003      1.51   Venezuela
10786      QUEEN     0000000008   000000001    110.87   Brasil
10787      LAMAI     0000000002   000000001    249.93   Francia
10788      QUICK     0000000001   000000002     42.70   Alemania
10789      FOLIG     0000000001   000000002    100.60   Francia
10790      GOURL     0000000006   000000001     28.23   Brasil
10791      FRANK     0000000006   000000002     16.85   Alemania
10792      WOLZA     0000000001   000000003     23.79   Polonia
10793      AROUT     0000000003   000000003      4.52   Reino Unido
10794      QUEDE     0000000006   000000001     21.49   Brasil
10795      ERNSH     0000000008   000000002    126.66   Austria
10796      HILAA     0000000003   000000001     26.52   Venezuela
10797      DRACD     0000000007   000000002     33.35   Alemania
10798      ISLAT     0000000002   000000001      2.33   Reino Unido
10799      KOENE     0000000009   000000003     30.76   Alemania
10800      SEVES     0000000001   000000003    137.44   Reino Unido
10801      BOLID     0000000004   000000002     97.09   Espanya
10802      SIMOB     0000000004   000000002    257.26   Dinamarca
10803      WELLI     0000000004   000000001     55.23   Brasil
10804      SEVES     0000000006   000000002     27.33   Reino Unido
10805      THEBI     0000000002   000000003    237.34   Estados Unidos
10806      VICTE     0000000003   000000002     22.11   Francia
10807      FRANS     0000000004   000000001      1.36   Italia
10808      OLDWO     0000000002   000000003     45.53   Estados Unidos
10809      WELLI     0000000007   000000001      4.87   Brasil
10810      LAUGB     0000000002   000000003      4.33   Canada
10811      LINOD     0000000008   000000001     31.22   Venezuela
10812      REGGC     0000000005   000000001     59.78   Italia
10813      RICAR     0000000001   000000001     47.38   Brasil
10814      VICTE     0000000003   000000003    130.94   Francia
10815      SAVEA     0000000002   000000003     14.62   Estados Unidos
10816      GREAL     0000000004   000000002    719.78   Estados Unidos
10817      KOENE     0000000003   000000002    306.07   Alemania
10818      MAGAA     0000000007   000000003     65.48   Italia
10819      CACTU     0000000002   000000003     19.76   Argentina
10820      RATTC     0000000003   000000002     37.52   Estados Unidos
10821      SPLIR     0000000001   000000001     36.68   Estados Unidos
10822      TRAIH     0000000006   000000003      7.00   Estados Unidos
10823      LILAS     0000000005   000000002    163.97   Venezuela
10824      FOLKO     0000000008   000000001      1.23   Suecia
10825      DRACD     0000000001   000000001     79.25   Alemania
10826      BLONP     0000000006   000000001      7.09   Francia
10827      BONAP     0000000001   000000002     63.54   Francia
10828      RANCH     0000000009   000000001     90.85   Argentina
10829      ISLAT     0000000009   000000001    154.72   Reino Unido
10830      TRADH     0000000004   000000002     81.83   Brasil
10831      SANTG     0000000003   000000002     72.19   Noruega
10832      LAMAI     0000000002   000000002     43.26   Francia
10833      OTTIK     0000000006   000000002     71.49   Alemania
10834      TRADH     0000000001   000000003     29.78   Brasil
10835      ALFKI     0000000001   000000003     69.53   Alemania
10836      ERNSH     0000000007   000000001    411.88   Austria
10837      BERGS     0000000009   000000003     13.32   Suecia
10838      LINOD     0000000003   000000003     59.28   Venezuela
10839      TRADH     0000000003   000000003     35.43   Brasil
10840      LINOD     0000000004   000000002      2.71   Venezuela
10841      SUPRD     0000000005   000000002    424.30   Belgica
10842      TORTU     0000000001   000000003     54.42   Mexico
10843      VICTE     0000000004   000000002      9.26   Francia
10844      PICCO     0000000008   000000002     25.22   Austria
10845      QUICK     0000000008   000000001    212.98   Alemania
10846      SUPRD     0000000002   000000003     56.46   Belgica
10847      SAVEA     0000000004   000000003    487.57   Estados Unidos
10848      CONSH     0000000007   000000002     38.24   Reino Unido
10849      KOENE     0000000009   000000002      0.56   Alemania
10850      VICTE     0000000001   000000001     49.19   Francia
10851      RICAR     0000000005   000000001    160.55   Brasil
10852      RATTC     0000000008   000000001    174.05   Estados Unidos
10853      BLAUS     0000000009   000000002     53.83   Alemania
10854      ERNSH     0000000003   000000002    100.22   Austria
10855      OLDWO     0000000003   000000001    170.97   Estados Unidos
10856      ANTON     0000000003   000000002     58.43   Mexico
10857      BERGS     0000000008   000000002    188.85   Suecia
10858      LACOR     0000000002   000000001     52.51   Francia
10859      FRANK     0000000001   000000002     76.10   Alemania
10860      FRANR     0000000003   000000003     19.26   Francia
10861      WHITC     0000000004   000000002     14.93   Estados Unidos
10862      LEHMS     0000000008   000000002     53.23   Alemania
10863      HILAA     0000000004   000000002     30.26   Venezuela
10864      AROUT     0000000004   000000002      3.04   Reino Unido
10865      QUICK     0000000002   000000001    348.14   Alemania
10866      BERGS     0000000005   000000001    109.11   Suecia
10867      LONEP     0000000006   000000001      1.93   Estados Unidos
10868      QUEEN     0000000007   000000002    191.27   Brasil
10869      SEVES     0000000005   000000001    143.28   Reino Unido
10870      WHITC     0000000005   000000003     12.04   Estados Unidos
10871      BONAP     0000000009   000000002    112.27   Francia
10872      GODOS     0000000005   000000002    175.32   Espanya
10873      WILMK     0000000004   000000001      0.82   Finlandia
10874      GODOS     0000000005   000000002     19.58   Espanya
10875      BERGS     0000000004   000000002     32.37   Suecia
10876      BONAP     0000000007   000000003     60.42   Francia
10877      RICAR     0000000001   000000001     38.06   Brasil
10878      QUICK     0000000004   000000001     46.69   Alemania
10879      WILMK     0000000003   000000003      8.50   Finlandia
10880      FOLKO     0000000007   000000001     88.01   Suecia
10881      CACTU     0000000004   000000001      2.84   Argentina
10882      SAVEA     0000000004   000000003     23.10   Estados Unidos
10883      LONEP     0000000008   000000003      0.53   Estados Unidos
10884      LETSS     0000000004   000000002     90.97   Estados Unidos
10885      SUPRD     0000000006   000000003      5.64   Belgica
10886      HANAR     0000000001   000000001      4.99   Brasil
10887      GALED     0000000008   000000003      1.25   Espanya
10888      GODOS     0000000001   000000002     51.87   Espanya
10889      RATTC     0000000009   000000003    280.61   Estados Unidos
10890      DUMON     0000000007   000000001     32.76   Francia
10891      LEHMS     0000000007   000000002     20.37   Alemania
10892      MAISD     0000000004   000000002    120.27   Belgica
10893      KOENE     0000000009   000000002     77.78   Alemania
10894      SAVEA     0000000001   000000001    116.13   Estados Unidos
10895      ERNSH     0000000003   000000001    162.75   Austria
10896      MAISD     0000000007   000000003     32.45   Belgica
10897      HUNGO     0000000003   000000002    603.54   Irlanda
10898      OCEAN     0000000004   000000002      1.27   Argentina
10899      LILAS     0000000005   000000003      1.21   Venezuela
10900      WELLI     0000000001   000000002      1.66   Brasil
10901      HILAA     0000000004   000000001     62.09   Venezuela
10902      FOLKO     0000000001   000000001     44.15   Suecia
10903      HANAR     0000000003   000000003     36.71   Brasil
10904      WHITC     0000000003   000000003    162.95   Estados Unidos
10905      WELLI     0000000009   000000002     13.72   Brasil
10906      WOLZA     0000000004   000000003     26.29   Polonia
10907      SPECD     0000000006   000000003      9.19   Francia
10908      REGGC     0000000004   000000002     32.96   Italia
10909      SANTG     0000000001   000000002     53.05   Noruega
10910      WILMK     0000000001   000000003     38.11   Finlandia
10911      GODOS     0000000003   000000001     38.19   Espanya
10912      HUNGO     0000000002   000000002    580.91   Irlanda
10913      QUEEN     0000000004   000000001     33.05   Brasil
10914      QUEEN     0000000006   000000001     21.19   Brasil
10915      TORTU     0000000002   000000002      3.51   Mexico
10916      RANCH     0000000001   000000002     63.77   Argentina
10917      ROMEY     0000000004   000000002      8.29   Espanya
10918      BOTTM     0000000003   000000003     48.83   Canada
10919      LINOD     0000000002   000000002     19.80   Venezuela
10920      AROUT     0000000004   000000002     29.61   Reino Unido
10921      VAFFE     0000000001   000000001    176.48   Dinamarca
10922      HANAR     0000000005   000000003     62.74   Brasil
10923      LAMAI     0000000007   000000003     68.26   Francia
10924      BERGS     0000000003   000000002    151.52   Suecia
10925      HANAR     0000000003   000000001      2.27   Brasil
10926      ANATR     0000000004   000000003     39.92   Mexico
10927      LACOR     0000000004   000000001     19.79   Francia
10928      GALED     0000000001   000000001      1.36   Espanya
10929      FRANK     0000000006   000000001     33.93   Alemania
10930      SUPRD     0000000004   000000003     15.55   Belgica
10931      RICSU     0000000004   000000002     13.60   Suiza
10932      BONAP     0000000008   000000001    134.64   Francia
10933      ISLAT     0000000006   000000003     54.15   Reino Unido
10934      LEHMS     0000000003   000000003     32.01   Alemania
10935      WELLI     0000000004   000000003     47.59   Brasil
10936      GREAL     0000000003   000000002     33.68   Estados Unidos
10937      CACTU     0000000007   000000003     31.51   Argentina
10938      QUICK     0000000003   000000002     31.89   Alemania
10939      MAGAA     0000000002   000000002     76.33   Italia
10940      BONAP     0000000008   000000003     19.77   Francia
10941      SAVEA     0000000007   000000002    400.81   Estados Unidos
10942      REGGC     0000000009   000000003     17.95   Italia
10943      BSBEV     0000000004   000000002      2.17   Reino Unido
10944      BOTTM     0000000006   000000003     52.92   Canada
10945      MORGK     0000000004   000000001     10.22   Alemania
10946      VAFFE     0000000001   000000002     27.20   Dinamarca
10947      BSBEV     0000000003   000000002      3.26   Reino Unido
10948      GODOS     0000000003   000000003     23.39   Espanya
10949      BOTTM     0000000002   000000003     74.44   Canada
10950      MAGAA     0000000001   000000002      2.50   Italia
10951      RICSU     0000000009   000000002     30.85   Suiza
10952      ALFKI     0000000001   000000001     40.42   Alemania
10953      AROUT     0000000009   000000002     23.72   Reino Unido
10954      LINOD     0000000005   000000001     27.91   Venezuela
10955      FOLKO     0000000008   000000002      3.26   Suecia
10956      BLAUS     0000000006   000000002     44.65   Alemania
10957      HILAA     0000000008   000000003    105.36   Venezuela
10958      OCEAN     0000000007   000000002     49.56   Argentina
10959      GOURL     0000000006   000000002      4.98   Brasil
10960      HILAA     0000000003   000000001      2.08   Venezuela
10961      QUEEN     0000000008   000000001    104.47   Brasil
10962      QUICK     0000000008   000000002    275.79   Alemania
10963      FURIB     0000000009   000000003      2.70   Portugal
10964      SPECD     0000000003   000000002     87.38   Francia
10965      OLDWO     0000000006   000000003    144.38   Estados Unidos
10966      CHOPS     0000000004   000000001     27.19   Suiza
10967      TOMSP     0000000002   000000002     62.22   Alemania
10968      ERNSH     0000000001   000000003     74.60   Austria
10969      COMMI     0000000001   000000002      0.21   Brasil
10970      BOLID     0000000009   000000001     16.16   Espanya
10971      FRANR     0000000002   000000002    121.82   Francia
10972      LACOR     0000000004   000000002      0.02   Francia
10973      LACOR     0000000006   000000002     15.17   Francia
10974      SPLIR     0000000003   000000003     12.96   Estados Unidos
10975      BOTTM     0000000001   000000003     32.27   Canada
10976      HILAA     0000000001   000000001     37.97   Venezuela
10977      FOLKO     0000000008   000000003    208.50   Suecia
10978      MAISD     0000000009   000000002     32.82   Belgica
10979      ERNSH     0000000008   000000002    353.07   Austria
10980      FOLKO     0000000004   000000001      1.26   Suecia
10981      HANAR     0000000001   000000002    193.37   Brasil
10982      BOTTM     0000000002   000000001     14.01   Canada
10983      SAVEA     0000000002   000000002    657.54   Estados Unidos
10984      SAVEA     0000000001   000000003    211.22   Estados Unidos
10985      HUNGO     0000000002   000000001     91.51   Irlanda
10986      OCEAN     0000000008   000000002    217.86   Argentina
10987      EASTC     0000000008   000000001    185.48   Reino Unido
10988      RATTC     0000000003   000000002     61.14   Estados Unidos
10989      QUEDE     0000000002   000000001     34.76   Brasil
10990      ERNSH     0000000002   000000003    117.61   Austria
10991      QUICK     0000000001   000000001     38.51   Alemania
10992      THEBI     0000000001   000000003      4.27   Estados Unidos
10993      FOLKO     0000000007   000000003      8.81   Suecia
10994      VAFFE     0000000002   000000003     65.53   Dinamarca
10995      PERIC     0000000001   000000003     46.00   Mexico
10996      QUICK     0000000004   000000002      1.12   Alemania
10997      LILAS     0000000008   000000002     73.91   Venezuela
10998      WOLZA     0000000008   000000002     20.31   Polonia
10999      OTTIK     0000000006   000000002     96.35   Alemania
11000      RATTC     0000000002   000000003     55.12   Estados Unidos
11001      FOLKO     0000000002   000000002    197.30   Suecia
11002      SAVEA     0000000004   000000001    141.16   Estados Unidos
11003      THECR     0000000003   000000003     14.91   Estados Unidos
11004      MAISD     0000000003   000000001     44.84   Belgica
11005      WILMK     0000000002   000000001      0.75   Finlandia
11006      GREAL     0000000003   000000002     25.19   Estados Unidos
11007      PRINI     0000000008   000000002    202.24   Portugal
11008      ERNSH     0000000007   000000003     79.46   Austria
11009      GODOS     0000000002   000000001     59.11   Espanya
11010      REGGC     0000000002   000000002     28.71   Italia
11011      ALFKI     0000000003   000000001      1.21   Alemania
11012      FRANK     0000000001   000000003    242.95   Alemania
11013      ROMEY     0000000002   000000001     32.99   Espanya
11014      LINOD     0000000002   000000003     23.60   Venezuela
11015      SANTG     0000000002   000000002      4.62   Noruega
11016      AROUT     0000000009   000000002     33.80   Reino Unido
11017      ERNSH     0000000009   000000002    754.26   Austria
11018      LONEP     0000000004   000000002     11.65   Estados Unidos
11019      RANCH     0000000006   000000003      3.17   Argentina
11020      OTTIK     0000000002   000000002     43.30   Alemania
11021      QUICK     0000000003   000000001    297.18   Alemania
11022      HANAR     0000000009   000000002      6.27   Brasil
11023      BSBEV     0000000001   000000002    123.83   Reino Unido
11024      EASTC     0000000004   000000001     74.36   Reino Unido
11025      WARTH     0000000006   000000003     29.17   Finlandia
11026      FRANS     0000000004   000000001     47.09   Italia
11027      BOTTM     0000000001   000000001     52.52   Canada
11028      KOENE     0000000002   000000001     29.59   Alemania
11029      CHOPS     0000000004   000000001     47.84   Suiza
11030      SAVEA     0000000007   000000002    830.75   Estados Unidos
11031      SAVEA     0000000006   000000002    227.22   Estados Unidos
11032      WHITC     0000000002   000000003    606.19   Estados Unidos
11033      RICSU     0000000007   000000003     84.74   Suiza
11034      OLDWO     0000000008   000000001     40.32   Estados Unidos
11035      SUPRD     0000000002   000000002      0.17   Belgica
11036      DRACD     0000000008   000000003    149.47   Alemania
11037      GODOS     0000000007   000000001      3.20   Espanya
11038      SUPRD     0000000001   000000002     29.59   Belgica
11039      LINOD     0000000001   000000002     65.00   Venezuela
11040      GREAL     0000000004   000000003     18.84   Estados Unidos
11041      CHOPS     0000000003   000000002     48.22   Suiza
11042      COMMI     0000000002   000000001     29.99   Brasil
11043      SPECD     0000000005   000000002      8.80   Francia
11044      WOLZA     0000000004   000000001      8.72   Polonia
11045      BOTTM     0000000006   000000002     70.58   Canada
11046      WANDK     0000000008   000000002     71.64   Alemania
11047      EASTC     0000000007   000000003     46.62   Reino Unido
11048      BOTTM     0000000007   000000003     24.12   Canada
11049      GOURL     0000000003   000000001      8.34   Brasil
11050      FOLKO     0000000008   000000002     59.41   Suecia
11051      LAMAI     0000000007   000000003      2.79   Francia
11052      HANAR     0000000003   000000001     67.26   Brasil
11053      PICCO     0000000002   000000002     53.05   Austria
11054      CACTU     0000000008   000000001      0.33   Argentina
11055      HILAA     0000000007   000000002    120.92   Venezuela
11056      EASTC     0000000008   000000002    278.96   Reino Unido
11057      NORTS     0000000003   000000003      4.13   Reino Unido
11058      BLAUS     0000000009   000000003     31.14   Alemania
11059      RICAR     0000000002   000000002     85.80   Brasil
11060      FRANS     0000000002   000000002     10.98   Italia
11061      GREAL     0000000004   000000003     14.01   Estados Unidos
11062      REGGC     0000000004   000000002     29.93   Italia
11063      HUNGO     0000000003   000000002     81.73   Irlanda
11064      SAVEA     0000000001   000000001     30.09   Estados Unidos
11065      LILAS     0000000008   000000001     12.91   Venezuela
11066      WHITC     0000000007   000000002     44.72   Estados Unidos
11067      DRACD     0000000001   000000002      7.98   Alemania
11068      QUEEN     0000000008   000000002     81.75   Brasil
11069      TORTU     0000000001   000000002     15.67   Mexico
11070      LEHMS     0000000002   000000001    136.00   Alemania
11071      LILAS     0000000001   000000001      0.93   Venezuela
11072      ERNSH     0000000004   000000002    258.64   Austria
11073      PERIC     0000000002   000000002     24.95   Mexico
11074      SIMOB     0000000007   000000002     18.44   Dinamarca
11075      RICSU     0000000008   000000002      6.19   Suiza
11076      BONAP     0000000004   000000002     38.28   Francia
11077      RATTC     0000000001   000000002      8.53   Estados Unidos
